cFECHAINI,CELULAR,cbstart,cbend,cFECHAFIN
2023-06-28 11:33:19.87,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,31,2023-06-28 12:06:48.94
2023-06-28 12:18:12.29,11c8011f-41cb-49d7-bf2f-d277977d01a1,38,25,2023-06-28 13:32:23.27
2023-06-28 07:27:16.21,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,5,2023-06-28 23:09:26.57
2023-06-28 23:27:44.04,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-28 23:27:45.45
2023-06-28 23:27:46.35,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-28 23:27:46.65
2023-06-28 23:52:04.44,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-28 23:52:08.21
2023-06-28 23:53:51.35,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-28 23:53:55.01
2023-06-28 23:53:55.36,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-28 23:53:59.59
2023-06-29 00:02:49.97,f44e072b-5325-4d79-a16f-b4f1f9271fda,8,8,2023-06-29 00:02:52.14
2023-06-28 13:51:45.27,11c8011f-41cb-49d7-bf2f-d277977d01a1,37,17,2023-06-28 15:08:46.58
2023-06-28 15:29:29.08,11c8011f-41cb-49d7-bf2f-d277977d01a1,34,11,2023-06-29 03:46:17.44
2023-06-29 04:11:36.46,11c8011f-41cb-49d7-bf2f-d277977d01a1,35,35,2023-06-29 05:46:44.22
2023-06-29 06:23:22.84,11c8011f-41cb-49d7-bf2f-d277977d01a1,47,47,2023-06-29 06:23:31.53
2023-06-29 06:27:11.43,11c8011f-41cb-49d7-bf2f-d277977d01a1,48,48,2023-06-29 06:32:33.86
2023-06-29 09:43:18.40,11c8011f-41cb-49d7-bf2f-d277977d01a1,54,23,2023-06-29 15:44:27.59
2023-06-29 07:17:25.52,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,2,2023-06-29 19:31:31.74
2023-06-29 19:33:15.44,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-06-29 19:33:18.34
2023-06-29 19:34:40.59,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-06-29 19:34:42.06
2023-06-29 19:35:48.95,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-06-29 19:35:50.15
2023-06-29 19:43:06.22,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-06-29 19:43:09.77
2023-06-29 19:49:05.43,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-29 19:49:07.07
2023-06-29 19:52:28.03,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-29 19:52:30.02
2023-06-29 20:01:26.18,f44e072b-5325-4d79-a16f-b4f1f9271fda,10,10,2023-06-29 20:01:35.40
2023-06-29 20:07:58.20,f44e072b-5325-4d79-a16f-b4f1f9271fda,11,11,2023-06-29 20:07:59.42
2023-06-29 20:20:10.61,f44e072b-5325-4d79-a16f-b4f1f9271fda,12,12,2023-06-29 20:20:15.17
2023-06-29 20:29:46.06,f44e072b-5325-4d79-a16f-b4f1f9271fda,12,12,2023-06-29 20:29:51.38
2023-06-29 16:02:05.36,11c8011f-41cb-49d7-bf2f-d277977d01a1,38,19,2023-06-29 20:47:41.58
2023-06-29 21:29:01.52,11c8011f-41cb-49d7-bf2f-d277977d01a1,37,37,2023-06-29 22:27:03.07
2023-06-29 22:27:19.09,11c8011f-41cb-49d7-bf2f-d277977d01a1,37,20,2023-06-30 00:43:58.12
2023-06-30 01:48:33.35,f44e072b-5325-4d79-a16f-b4f1f9271fda,8,8,2023-06-30 01:48:37.53
2023-06-30 01:52:05.88,f44e072b-5325-4d79-a16f-b4f1f9271fda,8,8,2023-06-30 01:52:09.46
2023-06-30 12:36:44.53,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-06-30 12:36:46.64
2023-06-30 12:38:09.73,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-06-30 12:38:10.84
2023-06-30 12:52:44.75,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-30 12:52:45.06
2023-06-30 12:52:48.23,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-30 12:52:54.69
2023-06-30 12:53:00.80,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-30 12:53:04.18
2023-06-30 12:53:04.56,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-30 12:53:09.05
2023-06-30 13:04:41.34,f44e072b-5325-4d79-a16f-b4f1f9271fda,11,11,2023-06-30 13:04:45.68
2023-06-30 13:08:03.04,f44e072b-5325-4d79-a16f-b4f1f9271fda,12,12,2023-06-30 13:08:08.09
2023-06-30 13:16:57.87,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 13:24:45.69
2023-06-30 13:35:48.84,f44e072b-5325-4d79-a16f-b4f1f9271fda,16,16,2023-06-30 13:35:49.38
2023-06-30 13:35:50.31,f44e072b-5325-4d79-a16f-b4f1f9271fda,16,11,2023-06-30 14:02:04.35
2023-06-30 14:05:06.04,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:05:09.00
2023-06-30 14:07:05.71,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:07:06.16
2023-06-30 14:07:10.71,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:07:12.77
2023-06-30 14:07:15.21,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:07:17.27
2023-06-30 14:09:00.44,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:09:03.17
2023-06-30 14:09:04.29,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,14,2023-06-30 14:09:05.68
2023-06-30 14:09:08.21,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,6,2023-06-30 14:41:04.32
2023-06-30 14:41:18.13,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-30 14:41:18.63
2023-07-01 01:54:36.92,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 01:54:37.55
2023-07-01 01:54:39.31,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 01:54:39.52
2023-07-01 01:58:41.15,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 01:58:42.55
2023-07-01 01:58:45.15,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 01:58:47.35
2023-07-01 01:59:41.74,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 01:59:43.05
2023-07-01 01:59:43.92,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-07-01 01:59:44.78
2023-07-01 02:04:02.34,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,3,2023-07-01 02:04:09.19
